ㄝ ㄝ e , big5
葊 ㄢˋ an4 04 utf8
貋 ㄢˋ an4 04 utf8
遃 ㄢˋ an4 04 utf8
隌 ㄢˋ an4 04 utf8
魭 ㄢˋ an4 04 utf8
𠵚 ㄢˋ an4 04 utf8
𡽜 ㄢˋ an4 04 utf8
雸 ㄢˊ an2 06 big5
玵 ㄢˊ an2 06 big5
啽 ㄢˊ an2 06 big5
㸩 ㄢˊ an2 06 utf8
䜙 ㄢˊ an2 06 utf8
𡪁 ㄢˊ an2 06 utf8
ㄅ ㄅ b 1 big5
崩 ㄅㄥ beng 1/ big5
繃 ㄅㄥ beng 1/ big5
伻 ㄅㄥ beng 1/ big5
弸 ㄅㄥ beng 1/ big5
祊 ㄅㄥ beng 1/ big5
閍 ㄅㄥ beng 1/ big5
塴 ㄅㄥ beng 1/ big5
絣 ㄅㄥ beng 1/ big5
㔙 ㄅㄥ beng 1/ utf8
㧍 ㄅㄥ beng 1/ utf8
㱶 ㄅㄥ beng 1/ utf8
㻚 ㄅㄥ beng 1/ utf8
䙀 ㄅㄥ beng 1/ utf8
䙖 ㄅㄥ beng 1/ utf8
奟 ㄅㄥ beng 1/ utf8
嵭 ㄅㄥ beng 1/ utf8
挷 ㄅㄥ beng 1/ utf8
綳 ㄅㄥ beng 1/ utf8
𥞩 ㄅㄥ beng 1/ utf8
菶 ㄅㄥˇ beng3 1/3 big5
玤 ㄅㄥˇ beng3 1/3 big5
琫 ㄅㄥˇ beng3 1/3 big5
埲 ㄅㄥˇ beng3 1/3 big5
誁 ㄅㄥˇ beng3 1/3 big5
㑟 ㄅㄥˇ beng3 1/3 utf8
䋽 ㄅㄥˇ beng3 1/3 utf8
䙀 ㄅㄥˇ beng3 1/3 utf8
䙖 ㄅㄥˇ beng3 1/3 utf8
䩬 ㄅㄥˇ beng3 1/3 utf8
䭰 ㄅㄥˇ beng3 1/3 utf8
䳞 ㄅㄥˇ beng3 1/3 utf8
浲 ㄅㄥˇ beng3 1/3 utf8
漨 ㄅㄥˇ beng3 1/3 utf8
綳 ㄅㄥˇ beng3 1/3 utf8
鞛 ㄅㄥˇ beng3 1/3 utf8
𧚭 ㄅㄥˇ beng3 1/3 utf8
蹦 ㄅㄥˋ beng4 1/4 big5
搒 ㄅㄥˋ beng4 1/4 big5
洴 ㄅㄥˋ beng4 1/4 big5
