憂心忡忡	感到憂心忡忡
戡亂時期	動員戡亂時期
所有權狀	土地所有權狀
所見略同	英雄所見略同
捷運系統	大眾捷運系統
授受不親	男女授受不親
掉以輕心	不敢掉以輕心
排山倒海	排山倒海之勢
排版系統	桌上排版系統
放款利率	基本放款利率
放諸四海	放諸四海皆準
政治作戰	政治作戰學校
政治作戰	總政治作戰部
教育大學	新竹教育大學
文化中心	中正文化中心
文化中心	基隆文化中心
文化交流	中日文化交流
文化大學	中國文化大學
文藝復興	文藝復興時代
新光三越	新光三越百貨
方便之門	大開方便之門
旦夕禍福	人有旦夕禍福
明尼蘇達	明尼蘇達大學
明尼蘇達	明尼蘇達灰狼
明尼蘇達	明尼蘇達雙城
是非曲直	不問是非曲直
暈頭轉向	忙得暈頭轉向
有眼不識	有眼不識泰山
有線電視	有線電視系統
有限公司	股份有限公司
某年某月	某年某月某日
某月某日	某年某月某日
核子動力	核子動力潛艇
核糖核酸	去氧核糖核酸
核醣核酸	去氧核醣核酸
格林威治	格林威治時間
桌上排版	桌上排版系統
標準時間	中原標準時間
機會均等	教育機會均等
橫貫公路	中部橫貫公路
橫貫公路	北部橫貫公路
橫貫公路	南部橫貫公路
橫貫公路	東西橫貫公路
權衡利弊	權衡利弊得失
歐亞大陸	歐亞大陸板塊
歐美先進	歐美先進國家
死傷不計	死傷不計其數
毫無可取	毫無可取之處
水深火熱	水深火熱之中
沙加緬度	沙加緬度國王
沙門氏菌	沙門氏菌腸炎
活動中心	學生活動中心
渾身解數	使出渾身解數
濱海公路	北部濱海公路
無人之境	如入無人之境
無產階級	無產階級專政
特殊教育	特殊教育學校
理工學院	麻省理工學院
瓜田李下	瓜田李下之嫌
生物技術	分子生物技術
生物醫學	生物醫學統計
甲午戰爭	中日甲午戰爭
男女授受	男女授受不親
男女老幼	不分男女老幼
異曲同工	異曲同工之妙
白色恐怖	白色恐怖時代
百科全書	大英百科全書
眾目睽睽	眾目睽睽之下
知其不可	知其不可而為
石油公司	中國石油公司
石油化學	石油化學工業
石油輸出	石油輸出國家
社會主義	國家社會主義
社會主義	社會主義革命
社會福利	社會福利彩券
社會福利	社會福利政策
社會福利	老人社會福利
社會經濟	社會經濟結構
神經系統	中樞神經系統
神經系統	自主神經系統
科學園區	台南科學園區
科學園區	新竹科學園區
科技大學	中國科技大學
科技大學	大仁科技大學
科技大學	崑山科技大學
